,Match,Team,Alliance,measurement,value,dloc,DefType
1199,88,1014,red,AutoLowShotAtt,1,,
1200,88,4256,red,AutoLowShotAtt,0,,
1201,88,3000,blue,AutoLowShotAtt,0,,
1202,88,4028,blue,AutoLowShotAtt,0,,
1203,88,6185,blue,AutoLowShotAtt,0,,
1204,77,5667,red,AutoTotalPoints,12,,
1205,77,451,red,AutoTotalPoints,12,,
1206,77,3484,red,AutoTotalPoints,12,,
1207,77,4256,blue,AutoTotalPoints,2,,
1208,77,1939,blue,AutoTotalPoints,12,,
1209,77,2040,blue,AutoTotalPoints,0,,
1210,78,3324,red,AutoTotalPoints,12,,
1211,78,48,red,AutoTotalPoints,12,,
1212,78,279,red,AutoTotalPoints,2,,
1213,78,4521,blue,AutoTotalPoints,12,,
1214,78,3201,blue,AutoTotalPoints,12,,
1215,78,2016,blue,AutoTotalPoints,0,,
1216,79,4920,red,AutoTotalPoints,0,,
1217,79,5811,red,AutoTotalPoints,12,,
1218,79,3814,red,AutoTotalPoints,12,,
1219,79,5809,blue,AutoTotalPoints,12,,
1220,79,1038,blue,AutoTotalPoints,12,,
1221,79,4284,blue,AutoTotalPoints,0,,
1222,80,2051,red,AutoTotalPoints,0,,
1223,80,2051,red,AutoTotalPoints,12,,
1224,80,3138,red,AutoTotalPoints,2,,
1225,80,3138,red,AutoTotalPoints,22,,
1226,80,1014,red,AutoTotalPoints,0,,
1227,80,1014,red,AutoTotalPoints,12,,
1228,80,4085,blue,AutoTotalPoints,0,,
1229,80,4085,blue,AutoTotalPoints,32,,
1230,80,120,blue,AutoTotalPoints,0,,
1231,80,120,blue,AutoTotalPoints,12,,
1232,80,3266,blue,AutoTotalPoints,0,,
1233,80,3266,blue,AutoTotalPoints,0,,
1234,81,6181,red,AutoTotalPoints,12,,
1235,81,6181,red,AutoTotalPoints,12,,
1236,81,1708,red,AutoTotalPoints,12,,
1237,81,1708,red,AutoTotalPoints,12,,
1238,81,3504,red,AutoTotalPoints,12,,
1239,81,3504,red,AutoTotalPoints,12,,
1240,81,337,blue,AutoTotalPoints,12,,
1241,81,337,blue,AutoTotalPoints,0,,
1242,81,5749,blue,AutoTotalPoints,12,,
1243,81,5749,blue,AutoTotalPoints,12,,
1244,81,3000,blue,AutoTotalPoints,0,,
1245,81,3000,blue,AutoTotalPoints,0,,
1246,82,4115,red,AutoTotalPoints,12,,
1247,82,144,red,AutoTotalPoints,12,,
1248,82,5492,red,AutoTotalPoints,12,,
1249,82,3492,blue,AutoTotalPoints,12,,
1250,82,6185,blue,AutoTotalPoints,12,,
1251,82,3260,blue,AutoTotalPoints,0,,
1252,83,554,red,AutoTotalPoints,12,,
1253,83,1308,red,AutoTotalPoints,12,,
1254,83,128,red,AutoTotalPoints,2,,
1255,83,3777,blue,AutoTotalPoints,2,,
1256,83,3821,blue,AutoTotalPoints,0,,
1257,83,4213,blue,AutoTotalPoints,0,,
1258,84,2603,red,AutoTotalPoints,12,,
1259,84,245,red,AutoTotalPoints,12,,
1260,84,868,red,AutoTotalPoints,12,,
1261,84,1985,blue,AutoTotalPoints,12,,
1262,84,1249,blue,AutoTotalPoints,0,,
1263,84,5413,blue,AutoTotalPoints,0,,
1264,85,3484,red,AutoTotalPoints,0,,
